===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.16.141/auth/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,txt,js,css,php
[+] Timeout:                 10s
===============================================================
2021/08/02 11:06:56 Starting gobuster in directory enumeration mode
===============================================================
/_vti_bin/_vti_aut/author.dll.txt (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_aut/author.dll.txt]  
/_temp.txt            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_temp.txt]                                     
/_themes.php          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_themes.php]                                   
/_vti_log.php         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_log.php]                                  
/.subversion.js       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.subversion.js]                                
/_mm.css              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_mm.css]                                       
/_catalogs.php        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_catalogs.php]                                 
/_lib.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_lib.js]                                       
/.htpasswd.js         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.htpasswd.js]                                  
/.hta.css             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.hta.css]                                      
/_vti_rpc             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_rpc]                                      
/_vti_script.html     (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_script.html]                              
/_www.css             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_www.css]                                      
